DecayParticle1_Name DecayParticle1_isBoson DecayParticle1_mass DecayParticle1_E DecayParticle1_px DecayParticle1_py DecayParticle1_pz DecayParticle2_Name DecayParticle2_isBoson DecayParticle2_mass DecayParticle2_E DecayParticle2_px DecayParticle2_py DecayParticle2_pz
b_quark 0 4.18 165.162 -36 -78 -141 b_quark 0 4.18 219.366 64 158 138
b_quark 0 4.18 52.4449 43 -22 -20 b_quark 0 4.18 92.9272 53 72 25
b_quark 0 4.18 190.185 -78 -150 87 b_quark 0 4.18 258.057 80 224 -100
Z 1 91.2 173.469 -13 146 17 Z 1 91.2 126.22 43 -74 -17
b_quark 0 4.18 180.365 112 -73 -121 b_quark 0 4.18 180.11 -105 9 146
b_quark 0 4.18 130.071 14 24 127 b_quark 0 4.18 192.42 56 -124 -136
b_quark 0 4.18 123.464 -67 -39 96 b_quark 0 4.18 151.031 150 17 -2
b_quark 0 4.18 154.724 -83 112 67 b_quark 0 4.18 184.547 -4 -182 -30
b_quark 0 4.18 165.138 -111 -114 44 b_quark 0 4.18 156.577 17 87 -129
b_quark 0 4.18 184.061 121 124 62 b_quark 0 4.18 157.247 -33 -126 -88
b_quark 0 4.18 106.501 -70 -61 -52 b_quark 0 4.18 113.945 79 82 -1
b_quark 0 4.18 161.402 116 16 111 b_quark 0 4.18 127.226 -63 10 -110
b_quark 0 4.18 133.744 -61 -15 -118 b_quark 0 4.18 111.546 -32 -75 76
b_quark 0 4.18 148.565 6 -123 83 b_quark 0 4.18 135.571 -81 101 -40
tau+ 0 1.78 121.968 24 59 -104 tau- 0 1.78 84.0783 69 -39 28
b_quark 0 4.18 182.369 110 -135 -54 b_quark 0 4.18 267.773 -176 178 95
W+ 1 80.4 202.591 141 57 107 W- 1 80.4 268.533 -237 -54 -81
b_quark 0 4.18 63.3914 62 6 11 b_quark 0 4.18 27.1196 9 21 -14
b_quark 0 4.18 71.1792 19 -8 -68 b_quark 0 4.18 116.338 -82 67 48
b_quark 0 4.18 174.607 -145 -6 97 b_quark 0 4.18 164.33 83 -63 -127
W+ 1 80.4 138.095 29 -62 89 W- 1 80.4 153.21 3 122 -46
Z 1 91.2 215.285 -101 98 135 Z 1 91.2 183.574 10 1 -159
b_quark 0 4.18 113.787 -76 77 35 b_quark 0 4.18 125.724 43 -52 -106
b_quark 0 4.18 104.878 63 -17 -82 b_quark 0 4.18 155.475 27 -49 145
tau+ 0 1.78 139.993 103 -69 -65 tau- 0 1.78 224.21 -159 -31 155
Z 1 91.2 203.449 -148 99 -37 Z 1 91.2 309.495 201 -187 110
b_quark 0 4.18 149.032 128 60 47 b_quark 0 4.18 198.029 -146 -119 -61
W+ 1 80.4 166.283 139 43 4 W- 1 80.4 140.036 -100 11 -55
b_quark 0 4.18 171.013 -110 -82 102 b_quark 0 4.18 203.161 197 -12 -48
W+ 1 80.4 178.74 -74 -78 118 W- 1 80.4 215.384 150 85 -101
b_quark 0 4.18 75.6007 17 -72 15 b_quark 0 4.18 166.035 -9 162 -35
b_quark 0 4.18 144.653 -113 47 -77 b_quark 0 4.18 235.311 169 -108 123
b_quark 0 4.18 143.131 32 26 -137 b_quark 0 4.18 119.823 20 -4 118
b_quark 0 4.18 143.828 -94 13 -108 b_quark 0 4.18 174.638 147 6 94
b_quark 0 4.18 117.811 -85 61 54 b_quark 0 4.18 158.583 115 -5 -109
b_quark 0 4.18 132.979 -81 -73 76 b_quark 0 4.18 208.874 103 151 -101
b_quark 0 4.18 210.636 123 130 111 b_quark 0 4.18 249.198 -200 -109 -101
tau+ 0 1.78 210.374 135 -125 -102 tau- 0 1.78 200.093 -131 88 123
b_quark 0 4.18 140.398 -113 -29 -78 b_quark 0 4.18 121.386 115 14 36
b_quark 0 4.18 216.295 -129 -115 -130 b_quark 0 4.18 156.303 99 34 116
b_quark 0 4.18 176.835 -81 -106 -116 b_quark 0 4.18 210.082 79 74 180
b_quark 0 4.18 149.768 -148 -5 -22 b_quark 0 4.18 178.24 138 102 -48
b_quark 0 4.18 161.169 13 75 -142 b_quark 0 4.18 166.63 -96 -24 134
b_quark 0 4.18 243.931 150 -147 -124 b_quark 0 4.18 160.348 -117 98 49
b_quark 0 4.18 137.315 -66 109 -51 b_quark 0 4.18 181.117 120 -65 119
b_quark 0 4.18 155.973 93 -6 125 b_quark 0 4.18 128.135 -124 -20 -25
b_quark 0 4.18 214.379 142 -71 -144 b_quark 0 4.18 257.919 -102 74 225
b_quark 0 4.18 256.972 149 -146 150 b_quark 0 4.18 242.48 -73 223 -61
b_quark 0 4.18 160.164 11 67 145 b_quark 0 4.18 158.024 -64 -107 -97
b_quark 0 4.18 117.058 50 -103 -24 b_quark 0 4.18 186.793 -48 157 89
b_quark 0 4.18 137.21 78 86 -73 b_quark 0 4.18 203.697 -53 -155 121
b_quark 0 4.18 222.869 140 -127 118 b_quark 0 4.18 205.537 -118 148 -80
b_quark 0 4.18 191.286 11 136 134 b_quark 0 4.18 150.614 -45 -131 -59
b_quark 0 4.18 152.419 -58 65 -125 b_quark 0 4.18 137.537 -7 -101 93
b_quark 0 4.18 173.331 101 132 -49 b_quark 0 4.18 243.256 -12 -224 94
tau+ 0 1.78 150.407 7 147 31 tau- 0 1.78 173.92 -36 -170 -7
tau+ 0 1.78 180.469 105 -15 146 tau- 0 1.78 139.489 -77 105 -50
b_quark 0 4.18 138.919 -28 -116 71 b_quark 0 4.18 73.6646 9 72 -12
b_quark 0 4.18 66.6519 46 -47 10 b_quark 0 4.18 130.252 -42 100 -72
b_quark 0 4.18 124.726 -3 73 101 b_quark 0 4.18 101.521 0 -17 -100
b_quark 0 4.18 155.998 143 -50 37 b_quark 0 4.18 228.152 -220 60 -6
b_quark 0 4.18 166.104 113 110 52 b_quark 0 4.18 179.119 -123 -116 -59
W+ 1 80.4 171.188 -138 46 41 W- 1 80.4 221.901 174 -110 -20
b_quark 0 4.18 214.51 148 102 -117 b_quark 0 4.18 124.461 -78 -70 67
b_quark 0 4.18 159.457 -56 -103 -108 b_quark 0 4.18 82.0943 68 37 27
b_quark 0 4.18 117.39 -31 81 79 b_quark 0 4.18 169.066 5 -146 -85
b_quark 0 4.18 89.7857 18 -86 -18 b_quark 0 4.18 162.882 -52 120 97
W+ 1 80.4 204.971 -117 136 58 W- 1 80.4 234.201 19 -195 -100
Z 1 91.2 252.791 139 -128 -141 Z 1 91.2 313.342 -53 216 201
b_quark 0 4.18 102.482 90 -33 -36 b_quark 0 4.18 119.731 -33 115 2
Z 1 91.2 193.097 123 -112 36 Z 1 91.2 205.86 -38 156 -91
b_quark 0 4.18 209.384 -140 68 -140 b_quark 0 4.18 335.242 224 -165 187
b_quark 0 4.18 188.134 132 72 -113 b_quark 0 4.18 216.066 -159 -65 131
b_quark 0 4.18 227.876 129 -150 113 b_quark 0 4.18 230.893 -143 106 -147
b_quark 0 4.18 100.187 40 -26 -88 b_quark 0 4.18 181.869 -53 99 143
b_quark 0 4.18 94.2734 -49 50 63 b_quark 0 4.18 93.0079 48 -77 -20
b_quark 0 4.18 129.844 -53 -97 68 b_quark 0 4.18 131.596 60 64 -98
W+ 1 80.4 234.932 149 148 68 W- 1 80.4 216.467 -77 -108 -151
b_quark 0 4.18 189.155 73 -108 -137 b_quark 0 4.18 231.109 -67 8 221
b_quark 0 4.18 141.374 -66 22 -123 b_quark 0 4.18 144.56 80 44 112
W+ 1 80.4 137.329 -101 45 -13 W- 1 80.4 146.8 66 -101 -23
b_quark 0 4.18 134.482 110 -28 72 b_quark 0 4.18 174.575 -173 -19 13
b_quark 0 4.18 138.782 -27 -17 -135 b_quark 0 4.18 234.445 27 -67 223
b_quark 0 4.18 192.17 124 -44 140 b_quark 0 4.18 129.346 -74 94 -49
tau+ 0 1.78 103.234 13 -9 -102 tau- 0 1.78 157.013 -80 85 105
b_quark 0 4.18 151.154 46 55 133 b_quark 0 4.18 238.804 -124 -135 -153
W+ 1 80.4 201.547 60 -139 -106 W- 1 80.4 189.088 -160 57 21
b_quark 0 4.18 153.634 -61 -124 67 b_quark 0 4.18 184.798 -4 81 -166
b_quark 0 4.18 185.738 124 -132 -41 b_quark 0 4.18 188.527 -41 180 -38
b_quark 0 4.18 116.015 28 97 -57 b_quark 0 4.18 193.071 -37 -183 49
W+ 1 80.4 92.1041 -31 -23 -23 W- 1 80.4 134.034 82 -4 -69
b_quark 0 4.18 157.571 67 -141 -21 b_quark 0 4.18 123.82 -116 43 -3
b_quark 0 4.18 190.501 -131 -134 -34 b_quark 0 4.18 285.703 172 205 100
b_quark 0 4.18 115.57 69 -73 -57 b_quark 0 4.18 230.466 -68 163 148
Z 1 91.2 157.135 -61 -82 -77 Z 1 91.2 198.523 50 37 165
W+ 1 80.4 93.06 0 36 30 W- 1 80.4 131.591 96 6 40
b_quark 0 4.18 133.486 1 -130 30 b_quark 0 4.18 80.4952 42 63 -27
W+ 1 80.4 149.62 -1 -39 120 W- 1 80.4 221.018 -34 45 -198
b_quark 0 4.18 105.477 -42 -88 -40 b_quark 0 4.18 72.4601 42 45 38
W+ 1 80.4 208.814 101 -147 73 W- 1 80.4 313.532 -201 226 19
b_quark 0 4.18 180.993 -89 -86 132 b_quark 0 4.18 261.8 119 80 -219
W+ 1 80.4 232.732 126 -120 -132 W- 1 80.4 165.611 -37 125 63
b_quark 0 4.18 142.388 -4 -60 129 b_quark 0 4.18 190.988 17 79 -173
b_quark 0 4.18 117.828 -52 -101 31 b_quark 0 4.18 193.304 74 153 -92
b_quark 0 4.18 121.957 14 -104 -62 b_quark 0 4.18 47.2702 -17 22 -38
b_quark 0 4.18 161.163 136 -64 -58 b_quark 0 4.18 225.997 -122 163 98
b_quark 0 4.18 174.466 96 134 57 b_quark 0 4.18 253.114 -154 -178 -93
b_quark 0 4.18 198.956 -111 146 -77 b_quark 0 4.18 230.797 175 -128 79
b_quark 0 4.18 131.786 -90 -15 95 b_quark 0 4.18 99.1336 51 72 -45
b_quark 0 4.18 138.951 133 -1 40 b_quark 0 4.18 161.299 -140 -64 48
W+ 1 80.4 220.312 138 -23 150 W- 1 80.4 215.748 -115 -17 -163
b_quark 0 4.18 183.419 60 125 -120 b_quark 0 4.18 270.247 -66 -154 212
b_quark 0 4.18 209.78 114 135 113 b_quark 0 4.18 259.774 -210 -143 -54
tau+ 0 1.78 156.196 141 47 48 tau- 0 1.78 103.746 -70 -72 26
b_quark 0 4.18 115.549 57 -62 79 b_quark 0 4.18 151.567 -121 33 -85
W+ 1 80.4 152.85 -79 -73 73 W- 1 80.4 178.796 132 48 -76
W+ 1 80.4 184.098 112 -22 120 W- 1 80.4 227.443 -196 -75 -35
b_quark 0 4.18 128.827 127 -3 -21 b_quark 0 4.18 174.283 -169 40 14
b_quark 0 4.18 151.646 79 -63 -113 b_quark 0 4.18 119.258 -62 56 85
W+ 1 80.4 191.008 24 130 -112 W- 1 80.4 285.198 56 -217 157
b_quark 0 4.18 151.021 -33 26 -145 b_quark 0 4.18 171.136 -55 -98 129
W+ 1 80.4 190.56 93 52 -136 W- 1 80.4 140.279 -81 -53 62
b_quark 0 4.18 174.836 -69 -117 -110 b_quark 0 4.18 261.365 134 217 57
b_quark 0 4.18 157.881 -68 -107 94 b_quark 0 4.18 112.296 50 93 -38
W+ 1 80.4 187.867 101 -50 127 W- 1 80.4 245.587 -180 43 -140
b_quark 0 4.18 141.713 -90 -106 27 b_quark 0 4.18 235.937 190 118 -75
tau+ 0 1.78 158.159 -99 -81 93 tau- 0 1.78 208.015 133 63 -147
b_quark 0 4.18 187.239 150 -110 21 b_quark 0 4.18 183.593 -152 91 -48
b_quark 0 4.18 102.745 -17 35 -95 b_quark 0 4.18 103.742 86 57 10
b_quark 0 4.18 118.273 17 -101 59 b_quark 0 4.18 146.463 -57 124 -53
b_quark 0 4.18 141.303 8 29 138 b_quark 0 4.18 95.4278 -74 43 -42
b_quark 0 4.18 206.059 19 141 149 b_quark 0 4.18 234.924 30 -224 -64
b_quark 0 4.18 105.254 24 -54 -87 b_quark 0 4.18 144.57 -61 131 1
b_quark 0 4.18 201.538 -90 138 116 b_quark 0 4.18 259.791 93 -116 -213
b_quark 0 4.18 137.501 -117 4 -72 b_quark 0 4.18 147.059 122 -82 1
W+ 1 80.4 211.209 -148 -100 79 W- 1 80.4 161.982 99 57 -82
tau+ 0 1.78 166.124 75 87 120 tau- 0 1.78 147.283 -102 -41 -98
W+ 1 80.4 203.421 -4 -148 114 W- 1 80.4 187.214 0 116 -123
Z 1 91.2 141.818 -41 -67 75 Z 1 91.2 126.821 -38 79 9
W+ 1 80.4 123.928 -41 83 18 W- 1 80.4 218.133 94 -169 61
tau+ 0 1.78 158.821 116 82 71 tau- 0 1.78 150.699 -21 -129 -75
b_quark 0 4.18 93.5333 69 37 -51 b_quark 0 4.18 166.408 -149 17 72
W+ 1 80.4 163.506 -10 71 -123 W- 1 80.4 241.075 -81 -106 184
W+ 1 80.4 128.554 21 90 39 W- 1 80.4 216.772 -77 -134 -129
b_quark 0 4.18 166.489 -76 -111 -98 b_quark 0 4.18 164.157 147 61 40
b_quark 0 4.18 161.228 82 -22 137 b_quark 0 4.18 258.611 -171 55 -186
tau+ 0 1.78 110.128 35 -36 -98 tau- 0 1.78 65.8116 56 34 6
Z 1 91.2 169.489 34 22 137 Z 1 91.2 218.528 -13 8 -198
W+ 1 80.4 166.848 -117 82 31 W- 1 80.4 148.631 19 -121 25
b_quark 0 4.18 150.531 15 144 41 b_quark 0 4.18 244.318 -21 -207 -128
W+ 1 80.4 151.163 56 -5 -115 W- 1 80.4 240.795 -135 -58 173
b_quark 0 4.18 143.33 -107 -86 41 b_quark 0 4.18 218.887 206 47 57
W+ 1 80.4 153.004 83 29 96 W- 1 80.4 182.675 -59 -95 -120
b_quark 0 4.18 165.041 -89 70 -120 b_quark 0 4.18 215.096 6 -122 177
b_quark 0 4.18 180.664 5 121 134 b_quark 0 4.18 134.147 -32 -105 -77
b_quark 0 4.18 208.095 -134 -101 123 b_quark 0 4.18 314.926 199 158 -186
b_quark 0 4.18 123.824 -109 35 47 b_quark 0 4.18 173.267 166 48 12
tau+ 0 1.78 104.461 -78 -64 -27 tau- 0 1.78 184.036 125 121 -60
b_quark 0 4.18 132.659 66 -92 69 b_quark 0 4.18 169.678 10 167 -28
b_quark 0 4.18 163.25 -28 -120 -107 b_quark 0 4.18 143.692 119 63 50
b_quark 0 4.18 85.624 -32 -53 -59 b_quark 0 4.18 125.313 119 -30 -25
b_quark 0 4.18 158.957 -8 -119 -105 b_quark 0 4.18 190.962 34 142 123
b_quark 0 4.18 114.54 42 -103 -27 b_quark 0 4.18 186.447 -51 140 112
tau+ 0 1.78 187.798 110 -74 133 tau- 0 1.78 117.699 -77 39 -80
b_quark 0 4.18 79.74 -32 -31 -66 b_quark 0 4.18 133.923 125 -42 23
b_quark 0 4.18 163.314 -114 -107 47 b_quark 0 4.18 116.989 72 78 49
b_quark 0 4.18 98.5062 79 -58 -9 b_quark 0 4.18 165.416 -136 65 -68
b_quark 0 4.18 130.872 -107 -75 -6 b_quark 0 4.18 168.4 111 126 12
b_quark 0 4.18 183.757 -112 134 57 b_quark 0 4.18 231.945 143 -124 -134
b_quark 0 4.18 178.579 -78 -110 117 b_quark 0 4.18 140.838 -21 111 -84
tau+ 0 1.78 199.698 112 136 -94 tau- 0 1.78 156.308 -28 -142 59
b_quark 0 4.18 69.5519 60 8 -34 b_quark 0 4.18 133.009 -32 3 129
b_quark 0 4.18 135.361 -118 5 -66 b_quark 0 4.18 102.847 80 64 -8
b_quark 0 4.18 50.1844 41 26 -12 b_quark 0 4.18 100.302 -9 -61 79
b_quark 0 4.18 140.867 19 -131 48 b_quark 0 4.18 166.489 -2 124 -111
W+ 1 80.4 170.377 -42 120 80 W- 1 80.4 212.951 128 -144 -42
b_quark 0 4.18 102.164 36 -32 -90 b_quark 0 4.18 212.853 -96 27 188
b_quark 0 4.18 199.004 10 139 -142 b_quark 0 4.18 141.388 -9 -44 134
b_quark 0 4.18 161.302 -86 61 -122 b_quark 0 4.18 213.362 69 -44 197
b_quark 0 4.18 143.068 29 -139 -17 b_quark 0 4.18 240.854 26 239 14
b_quark 0 4.18 143.476 110 2 -92 b_quark 0 4.18 163.913 -11 52 155
b_quark 0 4.18 144.532 -8 -138 42 b_quark 0 4.18 130.554 65 79 -81
W+ 1 80.4 166.653 -58 101 -88 W- 1 80.4 90.4553 -23 -10 33
b_quark 0 4.18 189.503 -105 -113 -110 b_quark 0 4.18 205.25 101 15 178
b_quark 0 4.18 98.084 41 -41 79 b_quark 0 4.18 198.933 -127 -18 -152
b_quark 0 4.18 65.1035 -38 44 29 b_quark 0 4.18 91.9319 -28 9 -87
b_quark 0 4.18 99.0529 -88 5 -45 b_quark 0 4.18 144.317 57 44 125
b_quark 0 4.18 162.897 -27 110 117 b_quark 0 4.18 109.24 -46 -70 -70
b_quark 0 4.18 179.715 62 140 94 b_quark 0 4.18 240.769 -36 -216 -100
W+ 1 80.4 176.106 -40 -50 -143 W- 1 80.4 148.587 -49 53 102
b_quark 0 4.18 104.778 72 -76 -1 b_quark 0 4.18 221.153 -161 113 101
b_quark 0 4.18 218.198 129 -114 134 b_quark 0 4.18 173.676 -29 132 -109
W+ 1 80.4 97.1708 33 17 40 W- 1 80.4 159.879 -121 -66 10
b_quark 0 4.18 148.032 -88 -106 54 b_quark 0 4.18 254.438 164 184 -63
b_quark 0 4.18 185.684 -101 142 -64 b_quark 0 4.18 108.307 7 -108 0
b_quark 0 4.18 73.9964 60 3 43 b_quark 0 4.18 175.429 -142 -55 -87
b_quark 0 4.18 83.6927 -73 37 -17 b_quark 0 4.18 91.9808 9 9 91
b_quark 0 4.18 104.333 -90 52 8 b_quark 0 4.18 138.757 122 -16 64
Z 1 91.2 171.41 16 42 138 Z 1 91.2 198.679 -102 4 -144
b_quark 0 4.18 106.191 -105 -15 -3 b_quark 0 4.18 149.868 35 103 103
W+ 1 80.4 194.258 136 -110 26 W- 1 80.4 280.045 -199 178 26
b_quark 0 4.18 121.068 -116 20 28 b_quark 0 4.18 185.117 133 -49 -119
b_quark 0 4.18 139.508 118 -36 65 b_quark 0 4.18 257.003 -212 -8 -145
W+ 1 80.4 160.823 -70 -102 -64 W- 1 80.4 154.318 81 42 95
b_quark 0 4.18 137.024 34 129 -31 b_quark 0 4.18 202.256 -112 -139 95
b_quark 0 4.18 78.2207 -71 32 -6 b_quark 0 4.18 56.5197 10 -49 26
tau+ 0 1.78 124.628 -97 6 -78 tau- 0 1.78 163.184 151 48 39
b_quark 0 4.18 141.175 111 -46 74 b_quark 0 4.18 207.554 -121 126 -112
b_quark 0 4.18 183.067 -138 -86 84 b_quark 0 4.18 97.5934 47 77 -37
W+ 1 80.4 219.65 -106 -135 111 W- 1 80.4 133.286 71 76 -22
b_quark 0 4.18 143.57 131 35 47 b_quark 0 4.18 192.828 -83 -126 -120
b_quark 0 4.18 155.931 40 104 109 b_quark 0 4.18 268.376 -126 -194 -136
tau+ 0 1.78 110.712 81 -62 -43 tau- 0 1.78 71.7438 -28 66 2
b_quark 0 4.18 84.2584 -15 -61 -56 b_quark 0 4.18 153.348 107 105 32
W+ 1 80.4 139.976 -18 102 49 W- 1 80.4 147.14 -71 -92 -41
W+ 1 80.4 159.691 -85 -106 -24 W- 1 80.4 205.687 77 167 -45
b_quark 0 4.18 205.087 105 -97 -147 b_quark 0 4.18 173.82 -136 6 108
b_quark 0 4.18 183.291 140 -73 93 b_quark 0 4.18 312.07 -197 156 -185
b_quark 0 4.18 117.756 -54 103 18 b_quark 0 4.18 97.2341 77 -12 -58
W+ 1 80.4 223.413 -128 88 139 W- 1 80.4 241.392 54 7 -221
b_quark 0 4.18 236.31 -138 141 130 b_quark 0 4.18 326.208 133 -217 -204
b_quark 0 4.18 78.5524 -58 -50 -17 b_quark 0 4.18 96.8219 44 85 14
b_quark 0 4.18 136.038 -100 5 92 b_quark 0 4.18 152.72 139 -41 -48
W+ 1 80.4 190.192 35 -128 110 W- 1 80.4 192.837 -111 124 -55
b_quark 0 4.18 118.099 60 93 41 b_quark 0 4.18 152.828 -133 -75 5
W+ 1 80.4 138.601 -55 -64 75 W- 1 80.4 178.589 23 150 -49
b_quark 0 4.18 157.288 -108 17 113 b_quark 0 4.18 134.813 74 -84 -75
b_quark 0 4.18 102.051 -62 37 -72 b_quark 0 4.18 130.903 -33 30 123
b_quark 0 4.18 171.031 148 -21 -83 b_quark 0 4.18 181.999 -147 101 36
b_quark 0 4.18 152.117 -72 -123 53 b_quark 0 4.18 164.823 102 124 37
Z 1 91.2 151.18 16 109 49 Z 1 91.2 175.882 -52 -107 -92
b_quark 0 4.18 170.477 127 100 -54 b_quark 0 4.18 244.187 -167 -115 136
b_quark 0 4.18 165.389 -2 136 94 b_quark 0 4.18 202.093 18 -90 -180
b_quark 0 4.18 194.31 43 -149 -117 b_quark 0 4.18 310.172 -8 245 190
W+ 1 80.4 156.58 -55 -108 -58 W- 1 80.4 227.748 120 171 42
b_quark 0 4.18 117.9 -37 -83 -75 b_quark 0 4.18 118.159 -2 92 74
b_quark 0 4.18 123.185 57 -48 -98 b_quark 0 4.18 180.672 -108 -15 144
tau+ 0 1.78 140.029 -130 -52 1 tau- 0 1.78 180.774 172 34 -44
W+ 1 80.4 176.233 -121 -68 -73 W- 1 80.4 212.686 191 9 47
b_quark 0 4.18 86.1131 7 82 -25 b_quark 0 4.18 128.497 -22 -119 43
b_quark 0 4.18 207.129 -136 -142 65 b_quark 0 4.18 237.578 145 160 -99
b_quark 0 4.18 126.161 113 -27 49 b_quark 0 4.18 182.366 -164 -50 -62
W+ 1 80.4 154.923 -1 -56 120 W- 1 80.4 184.954 68 124 -88
b_quark 0 4.18 102.272 21 -1 100 b_quark 0 4.18 158.403 -8 -79 -137
b_quark 0 4.18 143.932 43 47 129 b_quark 0 4.18 234.097 -48 48 -224
W+ 1 80.4 189.85 -35 -123 115 W- 1 80.4 234.099 41 84 -199
tau+ 0 1.78 174.78 42 109 -130 tau- 0 1.78 236.011 -121 -164 119
b_quark 0 4.18 135.891 -103 -84 28 b_quark 0 4.18 85.6882 44 58 45
b_quark 0 4.18 103.511 -75 -56 44 b_quark 0 4.18 77.7012 40 8 -66
b_quark 0 4.18 141.928 119 -77 -6 b_quark 0 4.18 137.748 -131 40 14
b_quark 0 4.18 89.1037 80 -39 -1 b_quark 0 4.18 119.258 -106 37 -40
b_quark 0 4.18 184.278 140 -90 -79 b_quark 0 4.18 240.995 -144 173 86
b_quark 0 4.18 159.883 77 4 140 b_quark 0 4.18 212.856 -45 89 -188
b_quark 0 4.18 70.6504 67 17 -14 b_quark 0 4.18 192.809 -149 -61 106
b_quark 0 4.18 112.301 7 68 89 b_quark 0 4.18 186.028 -107 -118 -96
b_quark 0 4.18 103.713 9 7 -103 b_quark 0 4.18 108.067 -91 -38 44
b_quark 0 4.18 167.742 -60 -66 142 b_quark 0 4.18 280.841 102 119 -233
b_quark 0 4.18 158.381 -83 117 -67 b_quark 0 4.18 99.1538 87 -47 6
W+ 1 80.4 151.453 -16 -33 123 W- 1 80.4 189.866 20 112 -129
b_quark 0 4.18 239.137 150 -125 -138 b_quark 0 4.18 203.594 -61 104 164
b_quark 0 4.18 160.236 -60 107 -103 b_quark 0 4.18 178.694 103 -136 53
W+ 1 80.4 155.1 130 -4 26 W- 1 80.4 155.798 -68 -39 -108
b_quark 0 4.18 115.765 72 78 46 b_quark 0 4.18 185.36 -154 -40 -95
b_quark 0 4.18 154.995 23 94 -121 b_quark 0 4.18 133.193 -3 -67 115
tau+ 0 1.78 149.6 -76 80 -101 tau- 0 1.78 117.167 -22 -115 4
W+ 1 80.4 195.873 101 145 -26 W- 1 80.4 197.244 -167 -66 -14
b_quark 0 4.18 144.12 132 25 52 b_quark 0 4.18 211.122 -107 -115 -141
b_quark 0 4.18 69.7314 -10 -44 -53 b_quark 0 4.18 160.656 -2 110 117
